,Pos,Age,Starts,Player,urls,scouting_url,position_group
4,MF,22.0,32,Martin Odegaard,https://fbref.com/en/players/79300479/Martin-Odegaard,https://fbref.com/en/players/79300479/scout/365_euro/Martin-Odegaard-Scouting-Report,Central Midfielders
5,"MF,DF",28.0,27,Granit Xhaka,https://fbref.com/en/players/e61b8aee/Granit-Xhaka,https://fbref.com/en/players/e61b8aee/scout/365_euro/Granit-Xhaka-Scouting-Report,Defensive-Midfielders
6,MF,28.0,23,Thomas Partey,https://fbref.com/en/players/529f49ab/Thomas-Partey,https://fbref.com/en/players/529f49ab/scout/365_euro/Thomas-Partey-Scouting-Report,Central Midfielders
7,DF,24.0,22,Kieran Tierney,https://fbref.com/en/players/fce2302c/Kieran-Tierney,https://fbref.com/en/players/fce2302c/scout/365_euro/Kieran-Tierney-Scouting-Report,Defender
8,"MF,FW",21.0,21,Emile Smith Rowe,https://fbref.com/en/players/17695062/Emile-Smith-Rowe,https://fbref.com/en/players/17695062/scout/365_euro/Emile-Smith-Rowe-Scouting-Report,Attacking Midfielders
9,"FW,MF",20.0,21,Martinelli,https://fbref.com/en/players/48a5a5d6/Martinelli,https://fbref.com/en/players/48a5a5d6/scout/365_euro/Martinelli-Scouting-Report,Attacking Midfielders
10,"FW,MF",30.0,20,Alexandre Lacazette,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette,https://fbref.com/en/players/9dbb75ca/scout/365_euro/Alexandre-Lacazette-Scouting-Report,Attacking Midfielders
11,DF,22.0,20,Takehiro Tomiyasu,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,https://fbref.com/en/players/b3af9be1/scout/365_euro/Takehiro-Tomiyasu-Scouting-Report,Defender
12,DF,29.0,16,Cedric Soares,https://fbref.com/en/players/839c14e1/Cedric-Soares,https://fbref.com/en/players/839c14e1/scout/365_euro/Cedric-Soares-Scouting-Report,Defender
13,DF,21.0,13,Nuno Tavares,https://fbref.com/en/players/a65c844b/Nuno-Tavares,https://fbref.com/en/players/a65c844b/scout/365_euro/Nuno-Tavares-Scouting-Report,Defender
14,MF,21.0,12,Albert Sambi Lokonga,https://fbref.com/en/players/1b4f1169/Albert-Sambi-Lokonga,https://fbref.com/en/players/1b4f1169/scout/365_euro/Albert-Sambi-Lokonga-Scouting-Report,Central Midfielders
15,FW,32.0,12,Pierre Emerick Aubameyang,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,https://fbref.com/en/players/d5dd5f1f/scout/365_euro/Pierre-Emerick-Aubameyang-Scouting-Report,Forwards
16,DF,25.0,9,Rob Holding,https://fbref.com/en/players/d79a8c87/Rob-Holding,https://fbref.com/en/players/d79a8c87/scout/365_euro/Rob-Holding-Scouting-Report,Defender
17,FW,22.0,8,Eddie Nketiah,https://fbref.com/en/players/a53649b7/Eddie-Nketiah,https://fbref.com/en/players/a53649b7/scout/365_euro/Eddie-Nketiah-Scouting-Report,Forwards
18,MF,29.0,8,Mohamed Elneny,https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,https://fbref.com/en/players/47a34c4f/scout/365_euro/Mohamed-Elneny-Scouting-Report,Central Midfielders
19,"FW,MF",26.0,5,Nicolas Pepe,https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe,https://fbref.com/en/players/57e3f0c7/scout/365_euro/Nicolas-Pepe-Scouting-Report,Attacking Midfielders
20,GK,29.0,4,Bernd Leno,https://fbref.com/en/players/2628fd2b/Bernd-Leno,https://fbref.com/en/players/2628fd2b/scout/365_euro/Bernd-Leno-Scouting-Report,GK
21,MF,23.0,2,Ainsley Maitland Niles,https://fbref.com/en/players/e3a5814e/Ainsley-Maitland-Niles,https://fbref.com/en/players/e3a5814e/scout/365_euro/Ainsley-Maitland-Niles-Scouting-Report,Central Midfielders
22,DF,27.0,2,Pablo Mari,https://fbref.com/en/players/aa54ec6f/Pablo-Mari,https://fbref.com/en/players/aa54ec6f/scout/365_euro/Pablo-Mari-Scouting-Report,Defender
23,DF,26.0,2,Calum Chambers,https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,https://fbref.com/en/players/dc6f5bdd/scout/365_euro/Calum-Chambers-Scouting-Report,Defender
24,DF,28.0,1,Sead Kolasinac,https://fbref.com/en/players/3935e52e/Sead-Kolasinac,https://fbref.com/en/players/3935e52e/scout/365_euro/Sead-Kolasinac-Scouting-Report,Defender
25,FW,20.0,1,Folarin Balogun,https://fbref.com/en/players/31822f8c/Folarin-Balogun,https://fbref.com/en/players/31822f8c/scout/365_euro/Folarin-Balogun-Scouting-Report,Forwards
26,FW,21.0,0,Reiss Nelson,https://fbref.com/en/players/c5bdb6e3/Reiss-Nelson,https://fbref.com/en/players/c5bdb6e3/scout/365_euro/Reiss-Nelson-Scouting-Report,Forwards
27,DF,19.0,0,Ryan Alebiousu,https://fbref.com/en/players/ce048fb8/Ryan-Alebiousu,https://fbref.com/en/players/ce048fb8/scout/365_euro/Ryan-Alebiousu-Scouting-Report,Defender
28,DF,17.0,0,Zach Awe,https://fbref.com/en/players/7a0ae4f0/Zach-Awe,https://fbref.com/en/players/7a0ae4f0/scout/365_euro/Zach-Awe-Scouting-Report,Defender
29,MF,18.0,0,Miguel Azeez,https://fbref.com/en/players/660e71be/Miguel-Azeez,https://fbref.com/en/players/660e71be/scout/365_euro/Miguel-Azeez-Scouting-Report,Central Midfielders
30,"DF,MF",26.0,0,Hector Bellerin,https://fbref.com/en/players/f874dd44/Hector-Bellerin,https://fbref.com/en/players/f874dd44/scout/365_euro/Hector-Bellerin-Scouting-Report,Defender
31,FW,18.0,0,Mika Biereth,https://fbref.com/en/players/a1d95db3/Mika-Biereth,https://fbref.com/en/players/a1d95db3/scout/365_euro/Mika-Biereth-Scouting-Report,Forwards
32,MF,17.0,0,Marcelo Flores,https://fbref.com/en/players/937b36b1/Marcelo-Flores,https://fbref.com/en/players/937b36b1/scout/365_euro/Marcelo-Flores-Scouting-Report,Central Midfielders
33,DF,17.0,0,Omari Hutchinson,https://fbref.com/en/players/bd9553e6/Omari-Hutchinson,https://fbref.com/en/players/bd9553e6/scout/365_euro/Omari-Hutchinson-Scouting-Report,Defender
34,GK,19.0,0,Karl Jakob Hein,https://fbref.com/en/players/aa81d8f8/Karl-Jakob-Hein,https://fbref.com/en/players/aa81d8f8/scout/365_euro/Karl-Jakob-Hein-Scouting-Report,GK
35,DF,18.0,0,Alex Kirk,https://fbref.com/en/players/ace36a62/Alex-Kirk,https://fbref.com/en/players/ace36a62/scout/365_euro/Alex-Kirk-Scouting-Report,Defender
36,DF,18.0,0,Mazeed Ogungbo,https://fbref.com/en/players/bacf9d43/Mazeed-Ogungbo,https://fbref.com/en/players/bacf9d43/scout/365_euro/Mazeed-Ogungbo-Scouting-Report,Defender
37,GK,19.0,0,Arthur Okonkwo,https://fbref.com/en/players/75834acc/Arthur-Okonkwo,https://fbref.com/en/players/75834acc/scout/365_euro/Arthur-Okonkwo-Scouting-Report,GK
38,MF,17.0,0,Salah Oulad MHand,https://fbref.com/en/players/b85c3273/Salah-Oulad-MHand,https://fbref.com/en/players/b85c3273/scout/365_euro/Salah-Oulad-MHand-Scouting-Report,Central Midfielders
39,FW,17.0,0,Charlie Patino,https://fbref.com/en/players/e71aac2c/Charlie-Patino,https://fbref.com/en/players/e71aac2c/scout/365_euro/Charlie-Patino-Scouting-Report,Forwards
40,DF,20.0,0,Zak Swanson,https://fbref.com/en/players/5b7381b5/Zak-Swanson,https://fbref.com/en/players/5b7381b5/scout/365_euro/Zak-Swanson-Scouting-Report,Defender
0,GK,28.0,36,Alisson,https://fbref.com/en/players/7a2e46a8/Alisson,https://fbref.com/en/players/7a2e46a8/scout/365_euro/Alisson-Scouting-Report,GK
1,DF,30.0,34,Virgil van Dijk,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,https://fbref.com/en/players/e06683ca/scout/365_euro/Virgil-van-Dijk-Scouting-Report,Defender
2,DF,22.0,32,Trent Alexander Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/scout/365_euro/Trent-Alexander-Arnold-Scouting-Report,Defender
3,FW,29.0,32,Sadio Mane,https://fbref.com/en/players/c691bfe2/Sadio-Mane,https://fbref.com/en/players/c691bfe2/scout/365_euro/Sadio-Mane-Scouting-Report,Forwards
4,DF,29.0,31,Joel Matip,https://fbref.com/en/players/b217ef29/Joel-Matip,https://fbref.com/en/players/b217ef29/scout/365_euro/Joel-Matip-Scouting-Report,Defender
5,FW,29.0,30,Mohamed Salah,https://fbref.com/en/players/e342ad68/Mohamed-Salah,https://fbref.com/en/players/e342ad68/scout/365_euro/Mohamed-Salah-Scouting-Report,Forwards
6,MF,31.0,29,Jordan Henderson,https://fbref.com/en/players/935e6b8f/Jordan-Henderson,https://fbref.com/en/players/935e6b8f/scout/365_euro/Jordan-Henderson-Scouting-Report,Central Midfielders
7,DF,27.0,29,Andrew Robertson,https://fbref.com/en/players/2e4f5f03/Andrew-Robertson,https://fbref.com/en/players/2e4f5f03/scout/365_euro/Andrew-Robertson-Scouting-Report,Defender
8,FW,24.0,27,Diogo Jota,https://fbref.com/en/players/178ae8f8/Diogo-Jota,https://fbref.com/en/players/178ae8f8/scout/365_euro/Diogo-Jota-Scouting-Report,Forwards
9,MF,27.0,26,Fabinho,https://fbref.com/en/players/7f3b388c/Fabinho,https://fbref.com/en/players/7f3b388c/scout/365_euro/Fabinho-Scouting-Report,Central Midfielders
10,MF,30.0,17,Thiago Alcantara,https://fbref.com/en/players/77e84962/Thiago-Alcantara,https://fbref.com/en/players/77e84962/scout/365_euro/Thiago-Alcantara-Scouting-Report,Central Midfielders
11,MF,26.0,14,Naby Keita,https://fbref.com/en/players/f25c8e3a/Naby-Keita,https://fbref.com/en/players/f25c8e3a/scout/365_euro/Naby-Keita-Scouting-Report,Central Midfielders
12,DF,22.0,11,Ibrahima Konate,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate,https://fbref.com/en/players/5ed9b537/scout/365_euro/Ibrahima-Konate-Scouting-Report,Defender
13,FW,24.0,11,Luis Diaz,https://fbref.com/en/players/4a1a9578/Luis-Diaz,https://fbref.com/en/players/4a1a9578/scout/365_euro/Luis-Diaz-Scouting-Report,Forwards
14,FW,29.0,10,Roberto Firmino,https://fbref.com/en/players/4c370d81/Roberto-Firmino,https://fbref.com/en/players/4c370d81/scout/365_euro/Roberto-Firmino-Scouting-Report,Forwards
15,MF,20.0,10,Curtis Jones,https://fbref.com/en/players/4fb9c88f/Curtis-Jones,https://fbref.com/en/players/4fb9c88f/scout/365_euro/Curtis-Jones-Scouting-Report,Central Midfielders
16,DF,25.0,9,Kostas Tsimikas,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas,https://fbref.com/en/players/f315ca93/scout/365_euro/Kostas-Tsimikas-Scouting-Report,Defender
17,"MF,DF",35.0,9,James Milner,https://fbref.com/en/players/2f90f6b8/James-Milner,https://fbref.com/en/players/2f90f6b8/scout/365_euro/James-Milner-Scouting-Report,Defensive-Midfielders
18,"MF,FW",27.0,9,Alex Oxlade Chamberlain,https://fbref.com/en/players/38c7feef/Alex-Oxlade-Chamberlain,https://fbref.com/en/players/38c7feef/scout/365_euro/Alex-Oxlade-Chamberlain-Scouting-Report,Attacking Midfielders
19,MF,18.0,4,Harvey Elliott,https://fbref.com/en/players/c8387671/Harvey-Elliott,https://fbref.com/en/players/c8387671/scout/365_euro/Harvey-Elliott-Scouting-Report,Central Midfielders
20,DF,24.0,4,Joe Gomez,https://fbref.com/en/players/7a11550b/Joe-Gomez,https://fbref.com/en/players/7a11550b/scout/365_euro/Joe-Gomez-Scouting-Report,Defender
21,GK,22.0,2,Caoimhin Kelleher,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,https://fbref.com/en/players/62d7ef38/scout/365_euro/Caoimhin-Kelleher-Scouting-Report,GK
22,"FW,MF",26.0,1,Takumi Minamino,https://fbref.com/en/players/f833a830/Takumi-Minamino,https://fbref.com/en/players/f833a830/scout/365_euro/Takumi-Minamino-Scouting-Report,Attacking Midfielders
23,MF,18.0,1,Tyler Morton,https://fbref.com/en/players/2bc28bb9/Tyler-Morton,https://fbref.com/en/players/2bc28bb9/scout/365_euro/Tyler-Morton-Scouting-Report,Central Midfielders
24,FW,26.0,0,Divock Origi,https://fbref.com/en/players/43a166b4/Divock-Origi,https://fbref.com/en/players/43a166b4/scout/365_euro/Divock-Origi-Scouting-Report,Forwards
25,FW,16.0,0,Kaide Gordon,https://fbref.com/en/players/19a9cb70/Kaide-Gordon,https://fbref.com/en/players/19a9cb70/scout/365_euro/Kaide-Gordon-Scouting-Report,Forwards
26,DF,20.0,0,Neco Williams,https://fbref.com/en/players/dd323728/Neco-Williams,https://fbref.com/en/players/dd323728/scout/365_euro/Neco-Williams-Scouting-Report,Defender
27,GK,34.0,0,Adrian,https://fbref.com/en/players/f76e6b4e/Adrian,https://fbref.com/en/players/f76e6b4e/scout/365_euro/Adrian-Scouting-Report,GK
28,DF,18.0,0,Owen Beck,https://fbref.com/en/players/a011a1e9/Owen-Beck,https://fbref.com/en/players/a011a1e9/scout/365_euro/Owen-Beck-Scouting-Report,Defender
29,DF,18.0,0,Conor Bradley,https://fbref.com/en/players/bbd67769/Conor-Bradley,https://fbref.com/en/players/bbd67769/scout/365_euro/Conor-Bradley-Scouting-Report,Defender
30,DF,24.0,0,Nathaniel Phillips,https://fbref.com/en/players/515ebe8d/Nathaniel-Phillips,https://fbref.com/en/players/515ebe8d/scout/365_euro/Nathaniel-Phillips-Scouting-Report,Defender
31,GK,18.0,0,Marcelo Pitaluga,https://fbref.com/en/players/b3cafda8/Marcelo-Pitaluga,https://fbref.com/en/players/b3cafda8/scout/365_euro/Marcelo-Pitaluga-Scouting-Report,GK
32,DF,18.0,0,Jarrell Quansah,https://fbref.com/en/players/4125cb98/Jarrell-Quansah,https://fbref.com/en/players/4125cb98/scout/365_euro/Jarrell-Quansah-Scouting-Report,Defender
33,DF,20.0,0,Rhys Williams,https://fbref.com/en/players/012c975a/Rhys-Williams,https://fbref.com/en/players/012c975a/scout/365_euro/Rhys-Williams-Scouting-Report,Defender
34,"FW,MF",21.0,0,Ben Woodburn,https://fbref.com/en/players/8aadeaef/Ben-Woodburn,https://fbref.com/en/players/8aadeaef/scout/365_euro/Ben-Woodburn-Scouting-Report,Attacking Midfielders
0,GK,27.0,37,Ederson,https://fbref.com/en/players/3bb7b8b4/Ederson,https://fbref.com/en/players/3bb7b8b4/scout/365_euro/Ederson-Scouting-Report,GK
1,DF,27.0,36,Joao Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,https://fbref.com/en/players/bd6351cd/scout/365_euro/Joao-Cancelo-Scouting-Report,Defender
2,MF,25.0,33,Rodri,https://fbref.com/en/players/6434f10d/Rodri,https://fbref.com/en/players/6434f10d/scout/365_euro/Rodri-Scouting-Report,Central Midfielders
3,"MF,FW",26.0,33,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,https://fbref.com/en/players/3eb22ec9/scout/365_euro/Bernardo-Silva-Scouting-Report,Attacking Midfielders
4,DF,27.0,33,Aymeric Laporte,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,https://fbref.com/en/players/119b9a8e/scout/365_euro/Aymeric-Laporte-Scouting-Report,Defender
5,DF,24.0,27,Ruben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,https://fbref.com/en/players/31c69ef1/scout/365_euro/Ruben-Dias-Scouting-Report,Defender
6,MF,30.0,25,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,https://fbref.com/en/players/e46012d4/scout/365_euro/Kevin-De-Bruyne-Scouting-Report,Central Midfielders
7,FW,21.0,24,Phil Foden,https://fbref.com/en/players/ed1e53f3/Phil-Foden,https://fbref.com/en/players/ed1e53f3/scout/365_euro/Phil-Foden-Scouting-Report,Forwards
8,FW,26.0,23,Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling,https://fbref.com/en/players/b400bde0/scout/365_euro/Raheem-Sterling-Scouting-Report,Forwards
9,FW,25.0,22,Jack Grealish,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish,https://fbref.com/en/players/b0b4fd3e/scout/365_euro/Jack-Grealish-Scouting-Report,Forwards
10,FW,24.0,21,Gabriel Jesus,https://fbref.com/en/players/b66315ae/Gabriel-Jesus,https://fbref.com/en/players/b66315ae/scout/365_euro/Gabriel-Jesus-Scouting-Report,Forwards
11,MF,30.0,20,Ilkay Gundogan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,https://fbref.com/en/players/819b3158/scout/365_euro/Ilkay-Gundogan-Scouting-Report,Central Midfielders
12,DF,31.0,20,Kyle Walker,https://fbref.com/en/players/86dd77d1/Kyle-Walker,https://fbref.com/en/players/86dd77d1/scout/365_euro/Kyle-Walker-Scouting-Report,Defender
13,FW,30.0,15,Riyad Mahrez,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez,https://fbref.com/en/players/892d5bb1/scout/365_euro/Riyad-Mahrez-Scouting-Report,Forwards
14,DF,27.0,12,John Stones,https://fbref.com/en/players/5eecec3d/John-Stones,https://fbref.com/en/players/5eecec3d/scout/365_euro/John-Stones-Scouting-Report,Defender
15,DF,24.0,10,Oleksandr Zinchenko,https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko,https://fbref.com/en/players/51cf8561/scout/365_euro/Oleksandr-Zinchenko-Scouting-Report,Defender
16,"MF,DF",36.0,10,Fernandinho,https://fbref.com/en/players/101da2b5/Fernandinho,https://fbref.com/en/players/101da2b5/scout/365_euro/Fernandinho-Scouting-Report,Defensive-Midfielders
17,DF,26.0,10,Nathan Ake,https://fbref.com/en/players/eaeca114/Nathan-Ake,https://fbref.com/en/players/eaeca114/scout/365_euro/Nathan-Ake-Scouting-Report,Defender
18,FW,21.0,4,Ferran Torres,https://fbref.com/en/players/9e1035f8/Ferran-Torres,https://fbref.com/en/players/9e1035f8/scout/365_euro/Ferran-Torres-Scouting-Report,Forwards
19,"FW,MF",19.0,1,Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer,https://fbref.com/en/players/dc7f8a28/scout/365_euro/Cole-Palmer-Scouting-Report,Attacking Midfielders
20,GK,26.0,1,Zack Steffen,https://fbref.com/en/players/42130443/Zack-Steffen,https://fbref.com/en/players/42130443/scout/365_euro/Zack-Steffen-Scouting-Report,GK
21,DF,27.0,1,Benjamin Mendy,https://fbref.com/en/players/5271c8f1/Benjamin-Mendy,https://fbref.com/en/players/5271c8f1/scout/365_euro/Benjamin-Mendy-Scouting-Report,Defender
22,"MF,FW",18.0,0,James Mcatee,https://fbref.com/en/players/96593e89/James-Mcatee,https://fbref.com/en/players/96593e89/scout/365_euro/James-Mcatee-Scouting-Report,Attacking Midfielders
23,FW,18.0,0,Liam Delap,https://fbref.com/en/players/dd897ee7/Liam-Delap,https://fbref.com/en/players/dd897ee7/scout/365_euro/Liam-Delap-Scouting-Report,Forwards
24,FW,18.0,0,Kayky Chagas,https://fbref.com/en/players/17734ea0/Kayky-Chagas,https://fbref.com/en/players/17734ea0/scout/365_euro/Kayky-Chagas-Scouting-Report,Forwards
25,DF,18.0,0,CJ Egan Riley,https://fbref.com/en/players/d313e8ff/CJ-Egan-Riley,https://fbref.com/en/players/d313e8ff/scout/365_euro/CJ-Egan-Riley-Scouting-Report,Defender
26,GK,35.0,0,Scott Carson,https://fbref.com/en/players/3e1550ee/Scott-Carson,https://fbref.com/en/players/3e1550ee/scout/365_euro/Scott-Carson-Scouting-Report,GK
27,MF,19.0,0,Thomas Doyle,https://fbref.com/en/players/5526deb1/Thomas-Doyle,https://fbref.com/en/players/5526deb1/scout/365_euro/Thomas-Doyle-Scouting-Report,Central Midfielders
28,FW,18.0,0,Samuel Edozie,https://fbref.com/en/players/007414dd/Samuel-Edozie,https://fbref.com/en/players/007414dd/scout/365_euro/Samuel-Edozie-Scouting-Report,Forwards
29,MF,17.0,0,Romeo Lavia,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia,https://fbref.com/en/players/ecad9aa5/scout/365_euro/Romeo-Lavia-Scouting-Report,Central Midfielders
30,DF,20.0,0,Luke Mbete Tatu,https://fbref.com/en/players/387e1d35/Luke-Mbete-Tatu,https://fbref.com/en/players/387e1d35/scout/365_euro/Luke-Mbete-Tatu-Scouting-Report,Defender
31,GK,18.0,0,Cieran Slicker,https://fbref.com/en/players/02aed921/Cieran-Slicker,https://fbref.com/en/players/02aed921/scout/365_euro/Cieran-Slicker-Scouting-Report,GK
32,DF,18.0,0,Josh Wilson Esbrand,https://fbref.com/en/players/c19a2df1/Josh-Wilson-Esbrand,https://fbref.com/en/players/c19a2df1/scout/365_euro/Josh-Wilson-Esbrand-Scouting-Report,Defender
0,GK,29.0,34,Edouard Mendy,https://fbref.com/en/players/33887998/Edouard-Mendy,https://fbref.com/en/players/33887998/scout/365_euro/Edouard-Mendy-Scouting-Report,GK
1,DF,28.0,34,Antonio Rudiger,https://fbref.com/en/players/18b896d6/Antonio-Rudiger,https://fbref.com/en/players/18b896d6/scout/365_euro/Antonio-Rudiger-Scouting-Report,Defender
2,DF,36.0,28,Thiago Silva,https://fbref.com/en/players/86e7deaf/Thiago-Silva,https://fbref.com/en/players/86e7deaf/scout/365_euro/Thiago-Silva-Scouting-Report,Defender
3,"MF,FW",22.0,27,Mason Mount,https://fbref.com/en/players/9674002f/Mason-Mount,https://fbref.com/en/players/9674002f/scout/365_euro/Mason-Mount-Scouting-Report,Attacking Midfielders
4,MF,29.0,26,Jorginho,https://fbref.com/en/players/45db685d/Jorginho,https://fbref.com/en/players/45db685d/scout/365_euro/Jorginho-Scouting-Report,Central Midfielders
5,DF,30.0,25,Marcos Alonso,https://fbref.com/en/players/f4290206/Marcos-Alonso,https://fbref.com/en/players/f4290206/scout/365_euro/Marcos-Alonso-Scouting-Report,Defender
6,DF,31.0,24,Cesar Azpilicueta,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,https://fbref.com/en/players/53cad200/scout/365_euro/Cesar-Azpilicueta-Scouting-Report,Defender
7,DF,21.0,22,Reece James,https://fbref.com/en/players/1265a93a/Reece-James,https://fbref.com/en/players/1265a93a/scout/365_euro/Reece-James-Scouting-Report,Defender
8,"FW,MF",22.0,22,Kai Havertz,https://fbref.com/en/players/fed7cb61/Kai-Havertz,https://fbref.com/en/players/fed7cb61/scout/365_euro/Kai-Havertz-Scouting-Report,Attacking Midfielders
9,MF,30.0,21,NGolo Kante,https://fbref.com/en/players/b9fbae28/NGolo-Kante,https://fbref.com/en/players/b9fbae28/scout/365_euro/NGolo-Kante-Scouting-Report,Central Midfielders
10,DF,25.0,17,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,https://fbref.com/en/players/1cb49278/scout/365_euro/Andreas-Christensen-Scouting-Report,Defender
